disputed_amount_missing,disputed_amount,quantity_missing,quantity,account_age_days_missing,account_age_days,previous_orders_missing,previous_orders,previous_chargebacks_missing,previous_chargebacks,previous_returns_missing,previous_returns,previous_failed_payments_missing,previous_failed_payments,avg_order_value_missing,avg_order_value,claim_delay_days_missing,claim_delay_days,days_to_deliver_missing,days_to_deliver,device_shared_accounts_missing,device_shared_accounts,ip_geo_distance_km_missing,ip_geo_distance_km,txns_last_24h_missing,txns_last_24h,has_tracking,device_seen_before,shipping_billing_match,chargeback_reason__product_not_received,chargeback_reason__unauthorized_transaction,chargeback_reason__product_not_as_described,payment_method__credit_card,payment_method__debit_card,payment_method__upi,payment_method__netbanking,payment_method__wallet,delivery_status__delivered,delivery_status__in_transit,delivery_status__failed,delivery_status__returned_to_sender,delivery_status__unknown,delivery_confirmation__signed,delivery_confirmation__otp,delivery_confirmation__photo,delivery_confirmation__none,amount_over_aov,log_amount,orders_per_month,chargeback_rate,delivered_with_confirmation,pnr_but_delivered,pnr_but_confirmed,unauth_but_known_device,new_account_high_value
0,9031.88,0,2.0,0,563.6,0,46.0,0,0.0,0,1.0,0,0.0,0,1074.9,0,4.4,0,2.2,0,3.0,0,77.8,0,5.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8.402530467950506,9.108626532438553,2.4485450674237046,0.0,1,0,0,0,0
0,738.69,0,3.0,0,729.1,0,17.0,0,0.0,0,3.0,0,0.0,0,2517.38,0,7.3,0,2.1,0,1.0,0,14.2,0,1.0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.293436032700665,6.606231179508253,0.6994925250308599,0.0,0,1,0,0,0
0,4760.77,0,2.0,0,209.4,0,13.0,0,0.0,0,1.0,0,0.0,0,2794.82,0,18.1,0,2.2,0,1.0,0,43.8,0,2.0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1.7034263387266444,8.468374726846353,1.8624641833810887,0.0,1,0,0,0,0
0,1751.79,0,2.0,0,336.4,0,6.0,0,0.0,0,2.0,0,0.0,0,923.32,0,14.0,0,1.8,0,0.0,0,5.2,0,1.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1.8972728848070006,7.46896408310752,0.535077288941736,0.0,1,0,0,0,0
0,4387.78,0,2.0,0,130.0,0,1.0,0,0.0,0,2.0,0,0.0,0,1147.28,0,4.9,0,3.5,0,0.0,0,4.1,0,2.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.8245066592287844,8.386806563118634,0.23076923076923078,0.0,1,1,1,0,0
0,4807.95,0,1.0,0,307.0,0,1.0,0,2.0,0,1.0,0,0.0,0,1276.31,0,19.3,0,6.9,0,0.0,0,6.2,0,2.0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.767070695990786,8.478234044051643,0.09771986970684039,1.0,1,0,0,1,0
0,9246.55,0,2.0,0,892.4,0,45.0,0,0.0,0,0.0,0,0.0,0,715.9,0,20.9,0,1.6,0,0.0,0,2.8,0,4.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,12.915979885458862,9.132113930558713,1.5127745405647692,0.0,1,1,1,0,0
0,1479.78,0,2.0,0,37.7,0,2.0,0,1.0,0,2.0,0,2.0,0,2345.68,0,13.9,0,1.1,0,0.0,0,10.1,0,3.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.6308533133249208,7.30032425495522,1.5915119363395223,0.3333333333333333,1,0,0,0,0
0,2075.61,0,2.0,0,625.7,0,90.0,0,0.0,0,1.0,0,0.0,0,1447.84,0,8.9,0,2.2,0,0.0,0,4.9,0,3.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.4335907282572662,7.638492035421661,4.3151670129455,0.0,1,1,1,0,0
0,4976.14,0,1.0,0,101.9,0,3.0,0,0.0,0,2.0,0,2.0,0,2450.25,0,26.8,0,2.7,0,0.0,0,2.0,0,2.0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.030870319355168,8.512610707858148,0.8832188420019627,0.0,0,1,0,0,0
0,1053.52,0,2.0,0,475.3,0,46.0,0,0.0,0,2.0,0,0.0,0,3344.82,0,14.4,0,1.8,0,0.0,0,15.3,0,1.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3149706112735513,6.960840966073726,2.903429413002314,0.0,1,1,1,0,0
0,9864.14,0,1.0,0,787.0,0,23.0,0,0.0,0,0.0,0,0.0,0,8820.82,0,0.8,0,1.2,0,0.0,0,41.0,0,1.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.1182792529492722,9.196762609942432,0.8767471410419313,0.0,0,1,0,0,0
0,1707.36,0,1.0,0,1349.1,0,6.0,0,0.0,0,2.0,0,0.0,0,613.61,0,5.0,1,-1.0,0,0.0,0,3.0,0,1.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.7824839882009744,7.4432891249727655,0.133422281521014,0.0,0,0,0,0,0
0,15617.22,0,1.0,0,993.7,0,37.0,0,0.0,0,1.0,0,1.0,0,1466.96,0,5.7,0,2.1,0,2.0,0,10.4,0,1.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10.645975350384468,9.656193460434077,1.1170373352118346,0.0,1,0,0,0,0
0,9340.25,0,1.0,0,176.1,0,4.0,0,0.0,0,2.0,0,0.0,0,1612.78,0,29.6,1,-1.0,0,0.0,0,63.5,0,1.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5.791397462766155,9.1421953552445,0.6814310051107325,0.0,0,0,0,0,0
0,25841.71,0,2.0,0,735.7,0,56.0,0,1.0,0,2.0,0,0.0,0,1171.85,0,2.6,0,3.9,0,0.0,0,129.2,0,1.0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,22.052062977343518,10.159783828558409,2.283539486203616,0.017543859649122806,1,0,0,0,0
0,1373.89,0,1.0,0,524.0,0,68.0,0,1.0,0,0.0,0,0.0,0,1711.89,0,0.9,1,-1.0,0,0.0,0,5.8,0,2.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.8025574073100491,7.226129006900501,3.893129770992367,0.014492753623188406,0,0,0,0,0
