case_id,customer_id,transaction_id,order_id,scenario,label_abusive,chargeback_reason,claim_description,disputed_amount,currency,payment_method,payment_status,product_category,quantity,shipping_city,billing_city,order_ts,shipped_ts,delivered_ts,claim_ts,claim_delay_days,account_age_days,previous_orders,previous_chargebacks,previous_returns,previous_failed_payments,avg_order_value,delivery_status,delivery_confirmation,has_tracking,days_to_deliver,device_seen_before,device_shared_accounts,ip_geo_distance_km,txns_last_24h,shipping_billing_match,split
CB-10000,CUST-11070-0,TXN-20000,ORD-30000,lost_package,0,product_not_received,Item was not delivered to me.,4901.92,INR,wallet,captured,home,1,Pune,Mumbai,2026-02-05T12:02:25,2026-02-05T19:47:02,,2026-02-13T15:29:38,2.8,273.9,26,0,1,0,4398.72,failed,none,1,,1,1,13.4,1,0,train
CB-10001,CUST-00370-1,TXN-20001,ORD-30001,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,9758.42,INR,debit_card,captured,fashion,2,Chennai,Kolkata,2026-04-11T04:53:02,2026-04-12T06:06:33,2026-04-15T08:30:33,2026-04-21T09:21:27,6.0,993.6,20,0,1,1,2168.26,delivered,signed,1,3.1,0,3,163.6,3,0,val
CB-10002,CUST-06951-2,TXN-20002,ORD-30002,friendly_fraud_pnr,1,product_not_received,The order shows delivered but nothing arrived at my address.,9562.24,INR,upi,captured,books,2,Jaipur,Jaipur,2026-03-24T05:48:37,2026-03-25T07:10:14,2026-03-26T07:10:14,2026-04-02T05:31:04,6.9,229.4,4,0,2,1,2731.41,delivered,otp,1,1.0,1,3,95.5,3,1,train
CB-10003,CUST-04364-3,TXN-20003,ORD-30003,lost_package,1,product_not_received,Item was not delivered to me.,5652.64,INR,netbanking,captured,beauty,1,Jaipur,Chennai,2026-02-18T09:17:33,2026-02-20T01:04:54,,2026-02-26T03:21:28,1.1,1239.5,16,0,1,1,762.28,failed,none,0,,1,1,147.9,1,0,train
CB-10004,CUST-08961-4,TXN-20004,ORD-30004,friendly_fraud_pnr,1,product_not_received,I never received this package.,1833.08,INR,upi,captured,books,1,Mumbai,Mumbai,2026-02-13T11:56:20,2026-02-16T00:35:23,2026-02-18T17:23:23,2026-03-05T01:43:07,14.3,193.1,9,0,2,0,847.32,delivered,photo,1,2.7,1,1,75.8,1,1,train
CB-10005,CUST-07611-5,TXN-20005,ORD-30005,false_unauthorized,1,unauthorized_transaction,Unauthorized payment on my account.,5021.47,INR,credit_card,captured,sports,2,Jaipur,Jaipur,2026-04-19T05:17:46,2026-04-21T16:08:57,2026-04-24T08:56:57,2026-05-09T11:52:06,15.1,342.0,8,1,1,2,1423.8,delivered,none,0,2.7,1,0,16.6,1,1,val
CB-10006,CUST-05151-6,TXN-20006,ORD-30006,opportunist_abuse,1,product_not_received,The order shows delivered but nothing arrived at my address.,3525.34,INR,upi,captured,books,1,Mumbai,Mumbai,2026-01-04T20:41:20,2026-01-05T13:13:29,2026-01-07T20:25:29,2026-01-19T18:11:36,11.9,436.8,68,0,1,0,811.43,delivered,signed,1,2.3,0,0,15.0,2,1,train
CB-10007,CUST-00734-0,TXN-20007,ORD-30007,lost_package,0,product_not_received,I never received this package.,1279.79,INR,debit_card,captured,fashion,1,Chennai,Chennai,2026-03-25T16:32:07,2026-03-27T16:18:50,2026-03-28T16:18:50,2026-04-01T10:19:02,3.8,544.7,23,0,1,0,2399.01,delivered,photo,0,1.0,0,2,17.4,2,1,train
CB-10008,CUST-03041-1,TXN-20008,ORD-30008,false_unauthorized,1,unauthorized_transaction,I did not make this transaction.,2436.8,INR,upi,captured,electronics,1,Hyderabad,Bangalore,2026-05-22T16:01:07,2026-05-25T12:23:30,2026-05-31T19:35:30,2026-06-09T18:07:30,8.9,401.4,21,0,4,1,3994.64,delivered,none,1,6.3,1,0,2.0,1,0,train
CB-10009,CUST-04600-2,TXN-20009,ORD-30009,lost_package,0,product_not_received,I never received this package.,4505.72,INR,wallet,captured,beauty,2,Ahmedabad,Ahmedabad,2026-01-28T12:53:28,2026-01-29T23:07:06,,2026-02-06T19:17:24,2.8,764.9,44,0,1,0,5614.82,in_transit,none,1,,1,0,21.2,2,1,test
CB-10010,CUST-10252-3,TXN-20010,ORD-30010,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,2075.75,INR,credit_card,captured,electronics,1,Delhi,Chennai,2026-01-18T04:13:57,2026-01-18T10:58:53,2026-01-22T13:22:53,2026-01-26T23:13:32,4.4,1095.8,91,0,1,0,4997.46,delivered,photo,1,4.1,0,0,17.4,4,0,train
CB-10011,CUST-05503-4,TXN-20011,ORD-30011,friendly_fraud_pnr,1,product_not_received,I never received this package.,2665.67,INR,upi,captured,sports,1,Kochi,Pune,2026-01-17T16:38:22,2026-01-20T15:17:50,2026-01-22T22:29:50,2026-01-26T07:28:57,3.4,391.7,6,0,1,1,2131.3,delivered,photo,1,2.3,0,1,5.8,1,0,train
CB-10012,CUST-08424-5,TXN-20012,ORD-30012,defective_item,0,product_not_as_described,Item arrived damaged / not as described.,3415.78,INR,credit_card,captured,sports,2,Pune,Pune,2026-02-11T04:18:00,2026-02-12T23:07:12,2026-02-16T18:19:12,2026-02-21T08:52:17,4.6,441.7,50,0,1,0,2097.64,delivered,otp,1,3.8,1,0,2.9,2,1,train
CB-10013,CUST-00920-6,TXN-20013,ORD-30013,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,14267.61,INR,upi,captured,home,2,Pune,Chennai,2026-01-29T06:01:40,2026-01-29T18:52:11,,2026-02-05T10:19:42,1.6,535.4,25,0,0,1,3067.87,in_transit,signed,1,,0,0,619.6,2,0,train
CB-10014,CUST-08699-0,TXN-20014,ORD-30014,true_fraud_victim,0,unauthorized_transaction,"This charge is not mine, my card was used without permission.",5562.73,INR,debit_card,captured,toys,2,Chennai,Chennai,2026-04-28T12:24:31,2026-04-30T20:28:33,2026-05-08T18:04:33,2026-05-12T11:21:17,3.7,566.5,33,0,2,1,5338.37,delivered,none,1,7.9,0,1,39.6,5,1,train
CB-10015,CUST-09633-1,TXN-20015,ORD-30015,lost_package,0,product_not_received,The order shows delivered but nothing arrived at my address.,3440.84,INR,debit_card,captured,toys,2,Chennai,Chennai,2026-02-20T17:55:41,2026-02-22T17:19:03,,2026-02-28T06:34:59,0.6,1496.7,53,0,1,0,2525.03,failed,none,1,,1,0,8.0,1,1,train
CB-10016,CUST-04428-2,TXN-20016,ORD-30016,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,1003.34,INR,upi,captured,books,2,Ahmedabad,Ahmedabad,2026-05-29T02:26:46,2026-05-30T08:17:30,2026-06-04T10:41:30,2026-06-07T20:22:51,3.4,455.5,29,0,2,0,628.77,delivered,photo,1,5.1,0,0,8.7,1,1,train
CB-10017,CUST-06403-3,TXN-20017,ORD-30017,lost_package,0,product_not_received,Item was not delivered to me.,10490.72,INR,credit_card,captured,books,1,Ahmedabad,Ahmedabad,2026-01-16T14:35:32,2026-01-18T19:37:03,,2026-01-26T13:01:27,2.7,808.1,23,0,1,0,1497.95,failed,none,0,,1,1,2.0,1,1,train
CB-10018,CUST-10255-4,TXN-20018,ORD-30018,lost_package,0,product_not_received,I never received this package.,9233.94,INR,credit_card,captured,fashion,2,Hyderabad,Hyderabad,2026-05-15T04:59:29,2026-05-17T05:42:09,,2026-05-27T04:33:23,5.0,156.1,2,0,0,0,2262.39,in_transit,none,0,,1,0,11.3,2,1,train
CB-10019,CUST-09330-5,TXN-20019,ORD-30019,lost_package,0,product_not_received,I never received this package.,4302.56,INR,upi,captured,beauty,1,Mumbai,Mumbai,2026-02-26T07:31:30,2026-02-26T19:49:29,,2026-03-05T00:47:34,1.2,679.2,55,0,0,0,1484.24,in_transit,none,1,,0,0,7.0,1,1,train
CB-10020,CUST-08249-6,TXN-20020,ORD-30020,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,2270.73,INR,credit_card,captured,fashion,1,Delhi,Delhi,2026-04-22T20:50:39,2026-04-24T15:53:43,2026-04-29T15:53:43,2026-05-14T09:16:50,14.7,774.0,51,0,2,0,404.84,delivered,otp,1,5.0,0,1,404.9,3,1,test
CB-10021,CUST-06640-0,TXN-20021,ORD-30021,friendly_fraud_pnr,0,product_not_received,Item was not delivered to me.,7256.64,INR,upi,captured,home,3,Jaipur,Jaipur,2026-04-03T07:18:25,2026-04-03T12:22:34,2026-04-04T12:22:34,2026-04-10T17:58:57,6.2,80.6,4,1,1,0,3120.77,delivered,signed,1,1.0,1,0,27.3,2,1,train
CB-10022,CUST-05626-1,TXN-20022,ORD-30022,lost_package,0,product_not_received,I never received this package.,9840.2,INR,wallet,captured,fashion,1,Mumbai,Mumbai,2026-01-18T19:44:33,2026-01-20T03:05:13,,2026-01-29T05:18:44,4.1,497.5,4,1,1,0,2605.8,unknown,none,1,,0,0,20.9,1,1,test
CB-10023,CUST-09227-2,TXN-20023,ORD-30023,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,10030.27,INR,credit_card,captured,home,1,Mumbai,Mumbai,2026-03-26T08:55:39,2026-03-27T15:04:33,2026-04-06T00:40:33,2026-04-17T10:14:27,11.4,653.6,3,0,2,2,1590.2,delivered,photo,1,9.4,1,1,24.6,2,1,train
CB-10024,CUST-06252-3,TXN-20024,ORD-30024,defective_item,0,product_not_as_described,The product I received is completely different from the listing.,1265.59,INR,credit_card,captured,beauty,2,Kolkata,Kolkata,2026-01-19T07:14:36,2026-01-21T05:29:22,2026-01-22T05:29:22,2026-02-04T16:32:34,13.5,285.9,8,0,1,0,2428.93,delivered,none,1,1.0,1,0,14.7,6,1,train
CB-10025,CUST-03941-4,TXN-20025,ORD-30025,lost_package,0,product_not_received,The order shows delivered but nothing arrived at my address.,1738.9,INR,debit_card,captured,beauty,1,Mumbai,Mumbai,2026-01-30T23:10:40,2026-02-02T15:39:03,,2026-02-17T00:29:41,9.4,713.7,43,1,1,0,940.7,in_transit,none,1,,1,0,58.7,2,1,train
CB-10026,CUST-09928-5,TXN-20026,ORD-30026,true_fraud_victim,0,unauthorized_transaction,I did not make this transaction.,16916.98,INR,netbanking,captured,beauty,1,Pune,Pune,2026-05-24T14:59:57,2026-05-26T22:15:20,,2026-06-05T02:52:24,4.2,558.4,44,0,0,0,3859.15,unknown,otp,1,,0,2,8.8,5,1,train
CB-10027,CUST-06107-6,TXN-20027,ORD-30027,friendly_fraud_pnr,1,product_not_as_described,The product I received is completely different from the listing.,8053.52,INR,upi,captured,home,1,Hyderabad,Kolkata,2026-03-15T03:02:57,2026-03-17T08:13:07,2026-03-21T05:49:07,2026-04-22T05:05:35,32.0,160.0,8,0,3,1,2726.21,delivered,signed,1,3.9,1,3,11.3,1,0,train
CB-10028,CUST-02118-0,TXN-20028,ORD-30028,true_fraud_victim,0,unauthorized_transaction,Unauthorized payment on my account.,1984.59,INR,netbanking,captured,home,1,Kochi,Pune,2026-01-05T13:56:40,2026-01-08T05:33:06,2026-01-10T15:09:06,2026-01-20T03:00:37,9.5,768.3,42,0,0,0,1407.37,delivered,none,1,2.4,0,2,436.0,6,0,test
CB-10029,CUST-06908-1,TXN-20029,ORD-30029,true_fraud_victim,0,unauthorized_transaction,I did not make this transaction.,11929.51,INR,debit_card,captured,beauty,1,Chennai,Chennai,2026-06-09T22:28:14,2026-06-10T10:47:12,,2026-06-26T18:06:07,11.3,567.3,14,0,1,0,943.53,in_transit,signed,1,,1,2,284.1,5,1,train
CB-10030,CUST-01042-2,TXN-20030,ORD-30030,lost_package,1,product_not_received,The order shows delivered but nothing arrived at my address.,5976.65,INR,upi,captured,electronics,1,Pune,Pune,2026-04-07T03:48:33,2026-04-07T12:09:28,2026-04-12T16:57:28,2026-04-20T17:47:30,8.0,604.8,52,0,0,0,926.92,delivered,none,1,5.2,1,0,12.6,1,1,train
CB-10031,CUST-02204-3,TXN-20031,ORD-30031,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,12848.42,INR,wallet,captured,toys,1,Bangalore,Bangalore,2026-01-26T08:26:15,2026-01-27T19:23:31,2026-01-29T16:59:31,2026-02-05T09:54:56,6.7,513.6,10,0,0,1,2003.51,delivered,otp,1,1.9,1,0,10.8,1,1,val
CB-10032,CUST-01141-4,TXN-20032,ORD-30032,opportunist_abuse,1,product_not_as_described,Item arrived damaged / not as described.,8108.37,INR,debit_card,captured,books,1,Jaipur,Jaipur,2026-06-11T15:48:02,2026-06-12T08:09:22,2026-06-13T22:33:22,2026-06-26T18:12:54,12.8,704.1,14,0,0,0,525.48,delivered,photo,1,1.6,1,0,4.1,2,1,train
CB-10033,CUST-05311-5,TXN-20033,ORD-30033,opportunist_abuse,1,product_not_as_described,The product I received is completely different from the listing.,4240.42,INR,debit_card,captured,electronics,2,Kochi,Kochi,2026-05-17T14:07:42,2026-05-19T06:16:46,2026-05-21T06:16:46,2026-05-27T00:42:14,5.8,392.1,37,0,0,1,1213.62,delivered,signed,1,2.0,0,0,3.8,1,1,train
CB-10034,CUST-06008-6,TXN-20034,ORD-30034,defective_item,0,product_not_as_described,Product quality does not match what was advertised.,1898.22,INR,debit_card,captured,toys,1,Chennai,Chennai,2026-03-04T14:38:35,2026-03-05T01:48:11,2026-03-07T06:36:11,2026-03-10T09:45:09,3.1,386.3,5,0,0,1,6493.2,delivered,otp,1,2.2,1,0,47.7,2,1,train
CB-10035,CUST-05217-0,TXN-20035,ORD-30035,lost_package,0,product_not_received,Item was not delivered to me.,4487.91,INR,debit_card,captured,fashion,4,Delhi,Delhi,2026-03-09T17:11:00,2026-03-10T16:09:02,,2026-03-16T08:18:24,0.7,508.3,36,1,2,0,6210.83,failed,none,1,,0,0,39.5,1,1,test
CB-10036,CUST-06145-1,TXN-20036,ORD-30036,lost_package,0,product_not_received,Item was not delivered to me.,5327.52,INR,debit_card,captured,fashion,2,Pune,Pune,2026-01-26T07:41:51,2026-01-27T11:37:25,2026-01-28T11:37:25,2026-02-01T17:15:58,4.2,562.1,37,0,0,1,2651.2,delivered,photo,1,1.0,1,0,16.0,2,1,train
